原始題目	標準答案	GPT3_OE	TF_GPT3_OE	GPT3_step	TF_GPT3_step	GPT3_explain	human_GPT3_explain	TF_GPT3_explain	GPT3.5_OE	TF_GPT3.5_OE	GPT3.5_step	TF_GPT3.5_step	GPT3.5_explain	human_GPT3.5_explain	TF_GPT3.5_explain	GPT4_OE	TF_GPT4_OE	GPT4_step	TF_GPT4_step	GPT4_explain	human_GPT4_explain	TF_GPT4_explain	Bloom題型	Webb’s Depth-of- Knowledge Levels	mcq_single	mcq_ClinicalVignette	mcq_negative	BloomGPT4_Clean_Arr[0]	BloomGPT4_Clean_Arr[1]	WebbGPT4_Clean_Arr[0]	WebbGPT4_Clean_Arr[1]	BloomGPT3.5_Clean_Arr[0]	BloomGPT3.5_Clean_Arr[1]	WebbGPT3.5_Clean_Arr[0]	WebbGPT3.5_Clean_Arr[1]	BloomGPT3.5_Clean	BloomGPT4_Clean	WebbGPT3.5_Clean	WebbGPT4_Clean	test_subject
"病人昨天接受冠狀動脈繞道手術（CABG），胸管引流量共600mL，今體溫38.7℃，血壓100/60mmHg，SaO2 94%。下列處置何者錯誤？
A 胸管引流量多，應評估凝血功能
B SaO2 94%，應給予O2 cannula 3 L/min
C 血壓偏低，應給予輸血
D 體溫過高，應給予Aspirin"	D	325mg	x	C 血壓偏低，應給予輸血	x	"A：正確。冠狀動脈繞道手術後，胸管引流量多可能是由於凝血功能受損導致的出血，因此應評估凝血功能。
B：正確。SaO2 94%表示病人缺氧，應給予O2 cannula 3 L/min以改善病人的氧合狀況。
C：錯誤。血壓偏低可能是由於病人失血過多導致的，應給予輸血以補充病人的血液量。
D：錯誤。體溫過高可能是由於發燒導致的，應給予Aspirin以減少發燒。"	CD	x	D 體溫過高，應給予Aspirin（錯誤）。患者體溫升高可能是手術後感染或其他原因引起的，應該先評估病因並給予相應的治療。Aspirin是一種抗血小板藥物，不適用於治療體溫升高。	o	C 體溫過高，應給予退燒藥物，而非Aspirin。Aspirin是一種抗血小板藥物，不具有退燒作用。	x	"A 胸管引流量多，應評估凝血功能：正確。胸管引流量多可能表示出血情況，需要評估凝血功能以確定是否需要進一步處置。

B SaO2 94%，應給予O2 cannula 3 L/min：正確。SaO2 94% 表示氧合不足，需要給予氧氣以提高氧合。

C 血壓偏低，應給予輸血：不確定。血壓偏低可能需要給予輸血，但需要進一步評估病人的情況以確定是否需要輸血。

D 體溫過高，應給予Aspirin：錯誤。體溫過高可能表示感染或其他問題，需要進一步評估病人的情況以確定是否需要給予Aspirin。Aspirin 是一種非類固醇消炎藥，主要用於緩解疼痛和發炎，不適用於所有情況。"	D	o	C 血壓偏低，應給予輸血	x	C 血壓偏低，應給予輸血	x	"A 胸管引流量多，應評估凝血功能：正確。由於病人胸管引流量達600mL，此情況指示出可能存在出血問題，因此應評估患者的凝血功能。

B SaO2 94%，應給予O2 cannula 3 L/min：正確。病人的SaO2為94%，低於正常範圍（95-100%），應對患者進行氧療，使用O2 cannula給予3 L/min的氧氣。

C 血壓偏低，應給予輸血：錯誤。病人的血壓確實偏低，但這不一定意味著需要輸血。應先找出血壓偏低的原因，如脫水、感染或其他原因。在明確原因並評估是否有相應指徵後再決定是否需要輸血。

D 體溫過高，應給予Aspirin：正確。病人的體溫為38.7℃，屬於發熱範圍。給予Aspirin可以降低體溫，並對病人產生解熱、抗炎和鎮痛的作用。但應該注意，由於Aspirin具有抗凝作用，在CABG後應謹慎使用。在評估患者各方面情況後給予適當用藥。"	C	x	Basic Application of Skill/Concept	1	1	1	1	4	Analyzing	3	Strategic Thinking	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	4|Analyzing			內外科
"有關搭飛機長程旅行後常會出現深部靜脈栓塞的主要原因，下列何者正確？
A 靜脈內皮細胞受損
B 血液凝固性增加
C 血液鬱積
D 血管收縮"	C		x	C 血液鬱積	o	"A 靜脈內皮細胞受損：長時間坐在飛機上會導致血液循環不良，導致靜脈內皮細胞受損，使血液更容易凝固。

B 血液凝固性增加：長時間坐在飛機上會導致血液循環不良，導致血液凝固性增加，使血液更容易凝固。

C 血液鬱積：長時間坐在飛機上會導致血液循環不良，導致血液鬱積，使血液更容易凝固。

D 血管收縮：長時間坐在飛機上會導致血管收縮，使血液流動減慢，導致血液更容易凝固。"	?	x	B 血液凝固性增加。長時間坐著不動，肌肉不斷收縮的刺激減少，血液循環速度變慢，血液中的凝血因子增加，容易形成血栓，導致深部靜脈栓塞。	x	B 血液凝固性增加	x	"A 靜脈內皮細胞受損：長時間坐著或站著不動，尤其是在狹小的空間中，會使靜脈內皮細胞受到壓力和摩擦，導致受損，進而引發深部靜脈栓塞。

B 血液凝固性增加：長時間不動會使血液循環緩慢，血液中的凝血因子會累積，使血液凝固性增加，進而引發深部靜脈栓塞。

C 血液鬱積：長時間不動會使血液循環緩慢，血液會鬱積在下肢，導致下肢靜脈內壓力增加，進而引發深部靜脈栓塞。

D 血管收縮：長時間不動會使血管收縮，尤其是在低溫環境下，血管更容易收縮，進而引發深部靜脈栓塞。"	?	x	C 血液鬱積	o	C 血液鬱積	o	"A 靜脈內皮細胞受損: 指的是靜脈內壁的內皮細胞受到傷害，可能導致血液過濾困難或局部血液凝固，然而這並非長程旅行後出現深部靜脈栓塞的主要原因。

B 血液凝固性增加: 血液中的凝固因子增加，容易使血液形成凝塊，雖然這是導致深部靜脈栓塞的一個可能原因，但在長程旅行後，其實更重要的是因為久坐導致的血液流動速度變慢。

C 血液鬱積: 長時間久坐或站立，使得下肢的血液流動變慢，久而久之，血液容易在靜脈內積聚，導致血液循環不暢，進而形成血栓。這是長程旅行後容易出現深部靜脈栓塞的主要原因。

D 血管收縮: 是指血管反應性地縮小，但這一情況通常與深部靜脈栓塞並無直接關係。

因此，正确答案是 C 血液鬱積。在?程?行中久坐，使得下肢血液流速?慢，?致血液淤?在???，血液在???形成血栓?而引起深部??栓塞。"	C	o	Basic Application of Skill/Concept	1	1	0	0	1	Remembering	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	1|Remembering			內外科
"奇脈（paradoxical pulse）是指下列何種情況？
A 呼氣時，收縮壓下降超過10 mmHg
B 吸氣時，收縮壓下降超過10 mmHg
C 呼氣時，舒張壓下降超過10 mmHg
D 吸氣時，舒張壓下降超過10 mmHg"	B	D 吸氣時，舒張壓下降超過10 mmHg	x	B 吸氣時，收縮壓下降超過10 mmHg	o	A 奇脈（paradoxical pulse）是指吸氣時，收縮壓下降超過10 mmHg。	B	o	B 吸氣時，收縮壓下降超過10 mmHg	o	B 吸氣時，收縮壓下降超過10 mmHg	o	"B 吸氣時，收縮壓下降超過10 mmHg

奇脈是指在呼吸運動中，脈搏幅度會隨著呼吸週期而改變，通常是在吸氣時脈搏幅度減弱，呼氣時脈搏幅度增強。當吸氣時收縮壓下降超過10 mmHg時，就稱為奇脈。這種現象通常是由於心臟輸出量下降或心包壓力增加所引起的。奇脈常見於心包填塞、支氣管哮喘、肺氣腫等疾病中。"	B	o	B 吸氣時，收縮壓下降超過10 mmHg	o	B 吸氣時，收縮壓下降超過10 mmHg	o	"A 這個選項描述的是 pulsus paradoxus（奇脈），呼氣時收縮壓下降超過 10 mmHg。這種現象在正常人體內不常見，通常是由於充血性心力衰竭、心包填塞等致使心臟填充受限的狀況導致。

B 吸氣時收縮壓下降超過 10 mmHg 也是 pulsus paradoxus（奇脈）的另一種表現。在這種情況下，心臟的充盈受限，導致收縮壓隨著吸氣而下降。

C 呼氣時舒張壓下降超過 10 mmHg 與奇脈無關。舒張壓主要是用來衡量心臟舒張期（心臟放鬆以接收血液的狀態）的壓力，並不明顯受到呼吸影響。

D 吸氣時舒張壓下降超過 10 mmHg 也與奇脈無關。同選項C，舒張壓主要用來衡量心臟舒張期的壓力，並不明顯受到呼吸影響。

綜上所述，奇脈是指收縮壓在呼氣和吸氣時下降超過 10 mmHg（選項A和B）。"	AB	x	Recall	1	1	0	0	1	Remembering	1	Recall	1	Remembering	1	Recall	1|Remembering	1|Remembering			內外科
"有關多發性骨髓瘤病人的護理指導，下列何者錯誤？
A 避免接觸感冒的親友
B 避免運動以預防病理性骨折
C 建議穿上背架減輕骨骼壓力
D 鼓勵飲水以降低血鈣濃度"	B		x	B 避免運動以預防病理性骨折	o	"B 避免運動以預防病理性骨折 
正確的做法應該是鼓勵運動以增強骨骼強度，以預防病理性骨折。"	B	o	B 避免運動以預防病理性骨折（多發性骨髓瘤病人需要進行適當的運動以維持肌肉和骨骼健康，但需要避免高風險的運動，如滑雪、攀岩等。）	o	B 避免運動以預防病理性骨折	o	"A 避免接觸感冒的親友：正確。多發性骨髓瘤病人的免疫系統較弱，容易感染，因此建議避免接觸感冒的親友，以減少感染風險。

B 避免運動以預防病理性骨折：錯誤。適當的運動可以增強骨骼強度，預防病理性骨折的發生。但是需要避免高強度的運動，以免造成骨骼損傷。

C 建議穿上背架減輕骨骼壓力：錯誤。穿上背架可能會增加骨骼壓力，進而導致骨折的風險增加。建議使用適當的姿勢和運動，以減輕骨骼壓力。

D 鼓勵飲水以降低血鈣濃度：正確。多發性骨髓瘤病人可能會出現高血鈣症，飲水可以幫助降低血鈣濃度，減少相關的症狀和併發症的發生。"	BC	x	B 避免運動以預防病理性骨折	o	B 避免運動以預防病理性骨折	o	"A 避免接觸感冒的親友：正確。多發性骨髓瘤病人的免疫系統容易受到影響，所以避免接觸感冒的親友可以降低感染的風險。

B 避免運動以預防病理性骨折：錯誤。適度的運動對多發性骨髓瘤病人是有益的，因為它可以增加骨密度和肌肉力量，防止骨折。然而，患者應避免劇烈運動和可能導致受傷的活動。

C 建議穿上背架減輕骨骼壓力：正確。背架可以幫助支撐脊柱，減輕骨骼壓力，減少疼痛，並降低骨折風險。

D 鼓勵飲水以降低血鈣濃度：正確。多發性骨髓瘤病人可能出現高鈣血症，導致鈣沉積在腎臟和其他器官。喝水可以幫助稀釋血液中的鈣濃度，減少鈣沉積的風險。"	B	o	Basic Application of Skill/Concept	1	1	0	1	2	Understanding	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding				內外科
"有關癌症疼痛三階梯止痛療法的敘述，下列何者正確？
A 需要時給予止痛劑，比按時給予止痛劑的止痛效果好
B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物
C 麻醉性止痛劑有天花板效應，即使增加劑量，止痛效果也不會增加
D 麻醉性止痛藥物的解毒劑是Naloxone"	D	"，可以抑制止痛劑的作用

B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物"	x	B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物	x	"A 正確。癌症疼痛的三階梯止痛療法建議，需要時給予止痛劑，比按時給予止痛劑的止痛效果好。

B 正確。第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物，以減輕病人的疼痛。

C 正確。麻醉性止痛劑有天花板效應，即使增加劑量，止痛效果也不會增加。

D 錯誤。麻醉性止痛藥物的解毒劑是Naloxone，而不是Naltrexone。"	ABC	x	B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物是正確的。其他選項都是錯誤的。需要按時給予止痛劑，以維持穩定的止痛效果。麻醉性止痛劑沒有天花板效應，可以根據病人的疼痛程度適當增加劑量。麻醉性止痛藥物的解毒劑是Naloxone，但不是用來治療止痛劑的副作用。	x	B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物。	x	"B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物是正確的敘述。根據癌症疼痛三階梯止痛療法，第一階段建議使用非麻醉性止痛劑或弱效麻醉性止痛劑，如NSAIDs、阿司匹林、?啡等，並可合併輔助性藥物如抗抑鬱藥、抗癲癇藥等。

A 需要時給予止痛劑，比按時給予止痛劑的止痛效果好是錯誤的敘述。按時給予止痛劑可以維持藥物在體內的穩定濃度，避免疼痛反覆發作，因此比需要時給予止痛劑的方式更能有效控制疼痛。

C 麻醉性止痛劑有天花板效應，即使增加劑量，止痛效果也不會增加是錯誤的敘述。麻醉性止痛劑的劑量可以根據病人的疼痛程度逐漸增加，直到達到止痛效果最佳的劑量。但是，麻醉性止痛劑的劑量增加也會增加副作用的風險，因此需要醫師根據病人的情況進行評估和調整。

D 麻醉性止痛藥物的解毒劑是Naloxone是正確的敘述。Naloxone是一種麻醉性止痛藥物的解毒劑，可以快速地將麻醉性止痛藥物的作用逆轉，減少或消除其副作用。在使用麻醉性止痛藥物時，醫師會根據病人的情況考慮是否需要備有Naloxone的解毒劑。"	BD	x	B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物	x	B 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物	x	"A. 需要時給予止痛劑，比按時給予止痛劑的止痛效果好 - 錯誤。按時給予止痛劑可以維持穩定的藥物濃度，達到更好的止痛效果，而需要時給予止痛劑可能無法及時控制疼痛。

B. 第一階段建議使用弱效麻醉性止痛劑，合併輔助性藥物 - 正確。第一階段的疼痛為輕度至中度疼痛，因此建議使用非鴉片類止痛藥，如布洛芬、撲熱息痛等，並可根據需要合併輔助性藥物，如抗憂鬱藥或抗癲癇藥。

C. 麻醉性止痛劑有天花板效應，即使增加劑量，止痛效果也不會增加 - 錯誤。麻醉性止痛劑（如鴉片類藥物）是指強效止痛劑，通常沒有天花板效應。這意味著隨著劑量的增加，止痛效果也會增加。但要注意，過量使用鴉片類藥物可能導致中毒和呼吸抑制。

D. 麻醉性止痛藥物的解毒劑是Naloxone - 正確。Naloxone是一種鴉片類受体拮抗劑，可以迅速逆轉鴉片類藥物引起的呼吸抑制和中毒症狀。在鴉片類藥物過量及中毒時，Naloxone是重要的緊急解毒劑。"	BD	x	Recall	1	1	0	0	1	Remembering	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	1|Remembering			內外科
"有關癌症病人口腔黏膜障礙照護的敘述，下列何者正確？ ?使用含類固醇的口內膏，可緩解疼痛和發炎 ?Nystatin 可預防白色念珠菌感染，漱口後要吐掉不可吞服 ?病人對苦味的敏感度減少，故可以吃苦瓜和芥菜，補充纖維素 ?使用口香糖可維持口腔濕潤
A??
B??
C??
D??"	B	A??	x	A??	x	"A?使用含類固醇的口內膏，可緩解疼痛和發炎
?Nystatin 可預防白色念珠菌感染，漱口後要吐掉不可吞服
B?使用含類固醇的口內膏，可緩解疼痛和發炎
?使用口香糖可維持口腔濕潤
C?Nystatin 可預防白色念珠菌感染，漱口後要吐掉不可吞服
?病人對苦味的敏感度減少，故可以吃苦瓜和芥菜，補充纖維素
D?病人對苦味的敏感度減少，故可以吃苦瓜和芥菜，補充纖維素
?使用口香糖可維持口腔濕潤"	?	x	"答案：A??

解析：
?使用含類固醇的口內膏，可緩解疼痛和發炎，是口腔黏膜障礙照護的常用方法。
?Nystatin 可預防白色念珠菌感染，漱口後要吐掉不可吞服，也是口腔黏膜障礙照護的常用方法。
?病人對苦味的敏感度減少，不代表可以吃苦瓜和芥菜，補充纖維素，這種說法是錯誤的。
?口香糖並不能維持口腔濕潤，反而可能刺激口腔黏膜，增加疼痛和不適感，因此這種說法也是錯誤的。"	x	B??	o	#ERROR!	?	x	A??	x	A??	x	"A??
? 使用含類固醇的口內膏，可緩解疼痛和發炎：正確。含有類固醇的口膏，例如氟米龍 (fluocinonide) 可以減輕口腔黏膜的疼痛和發炎。類固醇具有抗炎作用，對於緩解發炎有很好的效果。
? Nystatin 可預防白色念珠菌感染，漱口後要吐掉不可吞服：正確。Nystatin 是一種常用於預防和治療口腔 candidiasis 的抗真菌藥物。在使用 nystatin 漱口液時，患者需要把液體含在口中一段時間，然後吐掉，以達到清潔口腔效果。

B??
? 使用口香糖可維持口腔濕潤：正確。口香糖的咀嚼可以刺激口腔分泌唾液，有助於保持口腔濕潤。選擇沒有糖或糖醇的口香糖或橡皮糖對口腔健康較好。

C??
? 病人對苦味的敏感度減少，故可以吃苦瓜和芥菜，補充纖維素：錯誤。癌症治療期間，病人的口腔黏膜可能會變得敏感。這會讓病人對某些味道和食物的接受程度下降，包括苦味。此外，病人的口腔黏膜受損，若吃刺激性較強的食物，如苦瓜和芥菜，可能對口腔黏膜造成更大的刺激。應選擇其他富含纖維素且口感更溫和的食物，如蘆筍和鱈魚。

D?? 參考以上說明。

綜上所述，選項A（??）是正確答案。"	A	x	Basic Application of Skill/Concept	2	2	0	0	1	Remembering	2	Basic Application of Skill/Concept	2	Understanding	C??		2|Understanding	1|Remembering			內外科
"有關癌症病人感染問題的照護與護理指導，下列何者正確？
A 嗜中性白血球低下病人都會出現典型發炎症狀，如發燒等
B 多吃養樂多和優格等食品對病人是有益處的
C 絕對嗜中性白血球低於500/mm3 要採取保護隔離
D 家屬接種活性疫苗3 週後即可探視病人"	C		x	C 絕對嗜中性白血球低於500/mm3 要採取保護隔離	o	"A 嗜中性白血球低下病人都會出現典型發炎症狀，如發燒等: 嗜中性白血球低下是一種免疫功能缺陷，可能導致病人容易感染病毒、細菌和真菌，並出現典型的發炎症狀，如發燒、咳嗽、流鼻涕等。

B 多吃養樂多和優格等食品對病人是有益處的: 養樂多和優格等食品含有豐富的維生素和礦物質，對癌症病人有益，可以改善免疫功能，提高抵抗力，減輕病情。

C 絕對嗜中性白血球低於500/mm3 要採取保護隔離: 癌症病人的嗜中性白血球低於500/mm3時，應採取保護隔離措施，以防止感染。

D 家屬"	?	x	C 絕對嗜中性白血球低於500/mm3 要採取保護隔離是正確的。嗜中性白血球是身體免疫系統中的一種細胞，負責對抗細菌和真菌等病原體。癌症病人因為接受化療或放療等治療，可能會導致嗜中性白血球數量下降，容易感染。因此，當絕對嗜中性白血球低於500/mm3時，需要採取保護隔離措施，避免感染。其他選項不正確，嗜中性白血球低下病人不一定會出現典型發炎症狀，食品對病人是否有益處需要根據病人的具體情況而定，家屬接種活性疫苗後仍需要等待一段時間才能探視病人。	o	C 絕對嗜中性白血球低於500/mm3 要採取保護隔離	o	"A. 不正確。嗜中性白血球低下病人可能沒有典型的發炎症狀，因為白血球是身體抵抗感染的主要防禦機制，當白血球數量不足時，身體可能無法有效地對抗感染，但不一定會出現典型的發炎症狀。

B. 不一定正確。養樂多和優格等食品含有益生菌，可以幫助調節腸道菌群，但對於癌症病人是否有益處，需要根據個人情況進行評估。

C. 正確。絕對嗜中性白血球低於500/mm3時，病人的免疫功能明顯受損，容易感染病原體，因此需要採取保護隔離措施，以減少感染風險。

D. 不正確。家屬接種活性疫苗後，需要等待一段時間才能產生充分的免疫力，才能探視病人，以免將病原體帶入病房，增加病人感染風險。具體時間需要根據疫苗種類和接種時間進行評估。"	C	o	C 絕對嗜中性白血球低於500/mm3 要採取保護隔離	o	C 絕對嗜中性白血球低於500/mm3 要採取保護隔離	o	"A 嗜中性白血球低下病人都會出現典型發炎症狀，如發燒等
解釋：這個選項是不正確的。嗜中性白血球低下病人可能不會出現典型的發炎症狀，如發燒，因為他們的免疫系統較弱，無法正常反應。

B 多吃養樂多和優格等食品對病人是有益處的
解釋：這個選項是正確的。養樂多和優格含有益生菌，能夠幫助改善腸道菌群並提高免疫力，對癌症病人是有益處的。

C 絕對嗜中性白血球低於500/mm3 要採取保護隔離
解釋：這個選項是正確的。絕對嗜中性白血球低於500/mm3 表示病人的免疫力很低，容易感染，因此應該採取保護隔離，以降低感染的風險。

D 家屬接種活性疫苗3 週後即可探視病人
解釋：這個選項是不正確的。接種活性疫苗後，家屬身上可能帶有病毒或細菌，可能會增加病人感染的風險。為了病人的安全，家屬應先與醫護人員討論接種疫苗的時間和探視事宜。"	BC	x	Basic Application of Skill/Concept	1	1	0	0	2	Understanding	2	Basic Application of Skill/Concept	2	Understanding	2	Basic Application of Skill/Concept	2|Understanding	2|Understanding			內外科
"有關補充鐵劑的敘述，下列何者正確？
A 鐵劑不會刺激腸胃道可空腹服用
B 維生素E 有助於鐵劑吸收
C 口服後立刻漱口可減少牙齒染色
D 鐵劑注射後要按摩以加速吸收"	C		x	C 口服後立刻漱口可減少牙齒染色	o	"A 正確。鐵劑不會刺激腸胃道，可以空腹服用。

B 正確。維生素E有助於鐵劑的吸收，可以提高鐵劑的有效性。

C 不正確。口服後立刻漱口不會減少牙齒染色，只有攝取足夠的水才能減少牙齒染色。

D 不正確。鐵劑注射後不需要按摩以加速吸收，只需要等待一段時間即可。"	AB	x	B 維生素E 有助於鐵劑吸收。	x	B	x	"A 錯誤。鐵劑可能會刺激腸胃道，導致腹瀉、便秘、腹痛等不適症狀，因此建議在飯後服用。

B 錯誤。維生素C 能夠促進鐵劑的吸收，而維生素E 則不會對鐵劑的吸收產生影響。

C 正確。鐵劑可能會造成牙齒染色，因此建議口服後立刻漱口，以減少染色的風險。

D 錯誤。鐵劑通常是口服，而非注射，因此不需要按摩以加速吸收。"	C	o	C 口服後立刻漱口可減少牙齒染色	o	C 口服後立刻漱口可減少牙齒染色	o	"A. 鐵劑不會刺激腸胃道可空腹服用 - 不正確。鐵劑可能會刺激腸胃道，因此建議在餐後服用，以減少胃腸不適。
B. 維生素E 有助於鐵劑吸收 - 不正確。維生素C有助於鐵劑吸收，而不是維生素E。
C. 口服後立刻漱口可減少牙齒染色 - 正確。口服鐵劑可能會染色牙齒，特別是液態鐵劑。服用後立刻漱口可以降低牙齒染色的風險。
D. 鐵劑注射後要按摩以加速吸收 - 不正確。鐵劑注射後，不建議按摩注射部位，因為按摩可能增加局部疼痛和瘀血的風險。"	C	o	Basic Application of Skill/Concept	1	1	0	0	1	Remembering	2	Basic Application of Skill/Concept	1	Remembering	1	Recall	1|Remembering	1|Remembering			內外科
"林先生在輸血過程中出現頭痛、咳嗽、呼吸困難、心跳加快及血壓升高等情形，最有可能是出現下列那一種輸血反應？
A 急性溶血反應
B 循環過度負荷
C 過敏反應
D 輸血相關之急性肺損傷"	B		x	B 循環過度負荷	o	"A 急性溶血反應：溶血反應是一種輸血反應，可能會導致血液中的血小板激活，導致血液凝固，導致血管阻塞，導致頭痛、咳嗽、呼吸困難、心跳加快及血壓升高等症狀。

B 循環過度負荷：循環過度負荷是一種輸血反應，可能會導致血液中的血液或血液成分過多，導致血管壁膨脹，導致頭痛、咳嗽、呼吸困難、心跳加快及血壓升高等症狀。

C 過敏反應：過敏反應是一種輸血反應，可能會導致血液中的抗原與抗體結合，導致血管收縮，導致頭痛、咳嗽、呼吸困難、心跳加快及血壓升高等"	ABC	x	B 循環過度負荷	o	B 循環過度負荷	o	"A 急性溶血反應：指輸血後出現紅血球破壞，造成血紅素釋放，引起發燒、寒顫、頭痛、噁心、嘔吐、腰痛、血尿等症狀。

B 循環過度負荷：指輸血速度過快或輸血量過多，造成心臟負荷過重，引起心跳加快、呼吸困難、肺水腫等症狀。

C 過敏反應：指輸血後出現過敏反應，引起皮膚發紅、發痒、呼吸困難、血管擴張等症狀。

D 輸血相關之急性肺損傷：指輸血後出現肺部損傷，引起呼吸困難、咳嗽、胸痛等症狀。可能是由於輸血過程中引入的液體或細胞成分導致肺部壞死或肺水腫。"	?	x	B 循環過度負荷	o	B 循環過度負荷	o	"A. 急性溶血反應 (Acute Hemolytic Reaction)：這是一種危急的輸血反應，出現在輸入不相容血液時。輸入的錯誤血型使得受血者的免疫系統攻擊輸入的血紅蛋白，導致血紅蛋白迅速破壞和溶解。症狀包括發燒、寒戰、胸痛、腰痛、血壓下降、血尿等。

B. 循環過度負荷 (Circulatory Overload)：這是一種由輸血速度過快，體積過多引發的反應。循環系統無法容納到多餘的血液，對心臟和呼吸系統造成過度壓力。表現為頭痛、咳嗽、呼吸困難、心跳加快、血壓升高，與林先生的症狀相符。

C. 過敏反應 (Allergic Reaction)： 過敏反應是受血者對輸入血液或血液製品的組件產生的不良反應。症狀包括蕁麻疹、皮膚發紅、發痒，嚴重時可能出現血壓下降、心跳加快、呼吸困難等。

D. 輸血相關之急性肺損傷 (Transfusion-related Acute Lung Injury, TRALI)： 是因輸血而引發的急性肺部損傷。在輸血後短時間內出現的急性呼吸窘迫症狀。症狀包括嚴重呼吸困難、低氧血症、發燒等。

根据林先生的症狀，最有可能是 B. 循環過度負荷。"	B	o	Basic Application of Skill/Concept	1	1	1	0	3	Applying	1	Recall	4	Analyzing	2	Basic Application of Skill/Concept	4|Analyzing	3|Applying			內外科
"長期攝取低纖維或精緻飲食，可能與下列何種癌症的發生最有關？
A 胃癌
B 肝癌
C 大腸癌
D 乳癌"	C	C 大腸癌	o	C 大腸癌	o	"A 胃癌：長期攝取低纖維飲食可能會導致胃癌的發生，因為缺乏纖維會降低胃黏膜的保護作用，令胃壁更容易受到癌細胞的侵襲。

B 肝癌：長期攝取精緻飲食可能會導致肝癌的發生，因為精緻飲食含有大量的糖分和脂肪，可能會導致肝臟脂肪累積，令肝臟更容易受到癌細胞的侵襲。

C 大腸癌：長期攝取低纖維飲食可能會導致大腸癌的發生，因為缺乏纖維會降低大腸壁的保護作用，令大腸壁更容易受到癌細胞的侵襲。

D 乳癌：長期攝取低纖維或精緻飲食與乳癌的發生無關。"	ABC	x	C 大腸癌	o	C 大腸癌	o	C 大腸癌。長期攝取低纖維或精緻飲食，容易造成便秘、腸道內壁受損等問題，進而增加大腸癌的風險。而胃癌、肝癌、乳癌與飲食因素的關聯性較低。	C	o	C 大腸癌	o	C 大腸癌	o	"A 胃癌 - 胃癌與飲食習慣有一定的關聯，特別是高鹽和高脂肪飲食。然而，低纖維或精緻飲食與胃癌的關聯相對較弱。

B 肝癌 - 肝癌主要與過度酗酒和慢性肝炎病毒感染（如乙型肝炎和丙型肝炎）有關，與低纖維或精緻飲食的關聯度不高。

C 大腸癌 - 長期攝取低纖維或精緻飲食與大腸癌的發生有很大關聯。纖維能促進消化道蠕動，幫助排便，減少腸道中致癌物質與腸道黏膜的接觸時間。缺乏纖維可能導致便秘和腸道不良反應，進而增加大腸癌的風險。

D 乳癌 - 乳癌的主要風險因素包括年齡、基因、荷爾蒙水平、生育和哺乳歷史等。與低纖維或精緻飲食的關聯相對較弱。

綜上所述，長期攝取低纖維或精緻飲食與大腸癌的發生最有關。"	C	o	Recall	1	1	0	0	1	Remembering	1	Recall	2	Understanding	1	Recall	2|Understanding	1|Remembering			內外科
